brand,size,price,query,image,link
Other,M,$24.99,vintage hoodie,https://media-photos.depop.com/b1/51560243/3682862879_6f8f625b212949e49f35e09c4507d8a2/P0.jpg,https://www.depop.com/products/ungefinedvintagezz-vintage-ghetto-rodeo-mexican-streetwear-52fd/
Cabela's,M,$20.00,vintage hoodie,https://media-photos.depop.com/b1/51261865/3690267629_7044ea7c95704ea9949ea995099c9d81/P0.jpg,https://www.depop.com/products/cartmanthrifts-vintage-2000s-cabelas-camo-hoodie-d4b2/
Russell Athletic,XL,$24.00,vintage hoodie,https://media-photos.depop.com/r1/52301517/3690331710_29c293e752dd4546bfd0124dee99c381/P0.jpg,https://www.depop.com/products/bricktoe-vintage-russell-athletic-hoodie-tagged-86a5/
Edikted,S,$8.00,cargo pants,https://media-photos.depop.com/b1/451694941/3620412841_f81892be10ac4b85a560bee4a5dc1f29/P0.jpg,https://www.depop.com/products/avyqne_chrisa-edikted-grey-cargo-sweatpants-very-478e/
Garage,L,$8.00,cargo pants,https://media-photos.depop.com/b1/428375166/3696817395_5456fc0949b94bbfaafedd7bbbca4710/P0.jpg,https://www.depop.com/products/madml_4h2-black-cargo-sweatpants-with-adjustable-26fe/
Ambiance Apparel,L,$6.00,cargo pants,https://media-photos.depop.com/b1/205142843/3658529601_fdecb541a5404129a89d04b190618188/P0.jpg,https://www.depop.com/products/mooumoo-womens-grey-cargo-sweatpants-never-68fc/
Other,L,$13.99,cargo pants,https://media-photos.depop.com/b1/471240752/3689817717_c05e4e09d67440f2924c40a8f069ec35/P0.jpg,https://www.depop.com/products/mpyadani777-navy-blue-sweatpants-with-white-de87/
Abercrombie & Fitch,S,$5.00,cargo pants,https://media-photos.depop.com/b1/425443626/3671696862_6dacd3fb162b4626b79089de3cabc0e0/P0.jpg,https://www.depop.com/products/anunriyaa-light-blue-abercrombie-cargo-sweatpants-367a/
Garage,XS,$16.00,cargo pants,https://media-photos.depop.com/b1/484157996/3694959613_3a29efe41fc8456388254d73417350b8/P0.jpg,https://www.depop.com/products/mialinzscloset-dark-grey-garage-cargo-sweatpants-46d4/
Brandy Melville,One size,$7.00,cargo pants,https://media-photos.depop.com/b1/463952665/3697787947_f32da854ef734ed296b084b5c1cbf101/P0.jpg,https://www.depop.com/products/isinhasvloset-brandy-melville-john-gault-2b34/
Other,"32""",$11.00,cargo pants,https://media-photos.depop.com/b1/14820517/3688976057_2438c8a3f19b4184a3bd06b472083b42/P0.jpg,https://www.depop.com/products/benn6p0p-green-cargo-track-pants-with-c4f0/
Old Navy,M,$6.00,cargo pants,https://media-photos.depop.com/b1/280776457/3661772926_1d9c9e52cbdc4c1a93be6a97397a5913/P0.jpg,https://www.depop.com/products/c43hr_5084-old-navy-brand-light-grey-c8cb/
